Id_Incidente,Fecha,Hora,Ciudad,Latitud,Longitud,Tipo_Incidencia,Tipo_Vehiculo,Proveedor,Distancia_km,Tiempo_Respuesta_min,Medio_Retorno,Costo_EUR,Resuelto,SLA_45min_Incumplido,Satisfaccion_1a5,Notas
1,2024-12-11,20:42,Barcelona,41.38918,2.13438,Combustible,SUV,Proveedor B,17.1,21.3,Taxi,19.02,Sí,No,5.0,
2,2025-02-16,21:14,Madrid,40.36878,-3.628,Neumático,SUV,Proveedor A,43.6,37.7,Grúa,103.2,Sí,No,4.4,
3,2024-10-22,07:19,Zaragoza,41.61188,-0.88377,Motor,SUV,Proveedor B,14.3,53.0,Grúa,132.82,Sí,Sí,4.2,
4,2025-04-05,17:33,Sevilla,37.39681,-5.95097,Neumático,Furgoneta,Proveedor C,25.5,12.1,Grúa,79.25,Sí,No,5.0,
5,2024-10-10,20:44,Sevilla,37.4156,-5.90646,Batería,Furgoneta,Proveedor C,23.8,40.3,Retorno Domicilio,39.36,Sí,No,4.4,
6,2024-10-02,21:54,Valencia,39.58953,-0.34925,Motor,Turismo,Proveedor C,26.3,47.6,Grúa,188.0,Sí,Sí,2.9,
7,2025-08-24,14:14,Barcelona,41.32426,2.2281,Neumático,Turismo,Proveedor A,18.9,31.3,Retorno Domicilio,35.27,Sí,No,5.0,
8,2025-02-06,12:58,Barcelona,41.36119,2.09967,Combustible,Moto,Proveedor B,11.9,27.9,Taxi,27.95,Sí,No,5.0,
9,2025-03-08,06:00,Bilbao,43.2802,-3.09679,Motor,Turismo,Proveedor C,0.0,50.9,Grúa,99.26,No,Sí,3.4,
10,2025-04-20,22:48,Madrid,40.53148,-3.61854,Motor,Turismo,Proveedor C,10.4,52.6,Grúa,133.97,Sí,Sí,3.4,
11,2024-10-22,17:25,Madrid,40.34635,-3.69765,Caja de cambios,Turismo,Proveedor C,10.2,57.6,Grúa,148.11,Sí,Sí,2.5,
12,2024-12-05,14:59,Barcelona,41.42164,1.97102,Neumático,SUV,Proveedor D,7.0,26.7,N/A Reparado in-situ,8.05,No,No,5.0,
13,2025-08-25,06:10,Sevilla,37.36314,-6.00097,Motor,Turismo,Proveedor D,14.4,53.1,Grúa,141.62,Sí,Sí,4.0,
14,2025-01-17,10:36,Sevilla,37.45742,-5.84141,Sistema eléctrico,Turismo,Proveedor A,26.2,43.8,Grúa,130.19,Sí,No,3.7,
15,2024-12-20,08:24,Madrid,40.49387,-3.67078,Batería,Turismo,Proveedor B,28.5,57.9,Grúa,95.28,Sí,Sí,3.0,
16,2025-01-05,06:47,Sevilla,37.27659,-5.98726,Batería,Turismo,Proveedor A,26.8,28.3,Grúa,90.46,Sí,No,5.0,
17,2025-07-13,21:18,Bilbao,43.18704,-2.98275,Neumático,SUV,Proveedor A,17.9,35.4,N/A Reparado in-situ,22.45,Sí,No,4.0,
18,2025-02-07,08:17,Sevilla,37.47574,-5.9002,Neumático,Furgoneta,Proveedor C,9.2,40.7,N/A Reparado in-situ,21.31,Sí,No,4.8,
19,2025-02-22,12:28,Oviedo,43.31742,-5.85962,Motor,Turismo,Proveedor A,10.7,46.1,Grúa,112.34,Sí,Sí,4.1,
20,2025-01-20,07:01,Zaragoza,41.74563,-0.9012,Neumático,SUV,Proveedor A,19.5,39.4,Taxi,8.19,Sí,No,5.0,
21,2025-08-15,20:34,Madrid,40.4572,-3.63454,Accidente,SUV,Proveedor D,0.0,55.9,Grúa,121.44,Sí,Sí,2.6,
22,2025-01-06,06:46,Valencia,39.34835,-0.41504,Motor,Turismo,Proveedor C,5.4,56.8,Grúa,116.46,Sí,Sí,4.3,
23,2025-01-21,10:21,Bilbao,43.1034,-3.03902,Batería,Turismo,Proveedor A,15.6,51.7,Grúa,53.76,Sí,Sí,3.6,
24,2024-09-09,10:35,Málaga,36.73038,-4.36843,Batería,Turismo,Proveedor B,29.6,29.1,Grúa,94.48,Sí,No,4.6,
25,2025-02-24,08:59,Zaragoza,41.65762,-0.9235,Batería,Moto,Proveedor C,29.4,39.8,Grúa,85.52,Sí,No,3.9,
26,2025-04-02,22:25,Valencia,39.53493,-0.32593,Motor,Moto,Proveedor A,12.1,55.8,Grúa,144.02,Sí,Sí,4.0,
27,2025-05-06,09:09,Sevilla,37.48065,-5.91587,Neumático,SUV,Proveedor B,11.8,36.9,Retorno Domicilio,29.0,Sí,No,5.0,
28,2025-08-20,14:29,Málaga,36.87429,-4.33618,Sistema eléctrico,Turismo,Proveedor C,24.8,31.7,Taxi,46.18,No,No,4.8,
29,2024-11-07,08:11,Barcelona,41.36267,2.23291,Motor,SUV,Proveedor C,24.2,68.0,Grúa,197.24,Sí,Sí,2.1,
30,2025-01-23,20:11,Barcelona,41.41059,2.15362,Combustible,Moto,Proveedor D,15.4,43.9,Taxi,9.39,Sí,No,4.8,
31,2025-06-27,09:35,Bilbao,43.28882,-3.00118,Neumático,Turismo,Proveedor C,0.0,51.1,Taxi,13.65,Sí,Sí,4.5,
32,2024-08-31,08:12,Barcelona,41.37395,2.19141,Motor,Turismo,Proveedor B,18.6,47.0,Grúa,175.58,Sí,Sí,3.5,
33,2025-01-24,23:46,Málaga,36.70868,-4.5298,Accidente,SUV,Proveedor B,30.0,78.4,Grúa,259.34,Sí,Sí,1.2,
34,2025-03-04,23:27,Málaga,36.78066,-4.30327,Batería,Furgoneta,Proveedor D,21.4,47.6,N/A Reparado in-situ,12.58,Sí,Sí,4.9,
35,2024-09-09,23:58,Zaragoza,41.52125,-0.93705,Batería,Turismo,Proveedor B,21.0,17.7,N/A Reparado in-situ,21.15,Sí,No,5.0,
36,2025-07-07,11:27,Madrid,40.30731,-3.66096,Sistema eléctrico,Furgoneta,Proveedor D,33.2,42.6,Grúa,147.23,Sí,No,4.0,
37,2025-06-14,07:27,Oviedo,43.47364,-5.88059,Motor,Turismo,Proveedor B,30.8,55.0,Grúa,188.74,Sí,Sí,3.6,
38,2024-11-04,16:50,Barcelona,41.45669,2.16031,Sistema eléctrico,SUV,Proveedor D,34.1,58.1,Grúa,162.83,Sí,Sí,2.8,
39,2024-09-29,15:50,Bilbao,43.29305,-3.04473,Combustible,SUV,Proveedor B,22.6,35.7,Grúa,70.4,Sí,No,4.3,
40,2024-12-19,21:30,Barcelona,41.34714,2.25223,Neumático,SUV,Proveedor A,10.5,54.9,Retorno Domicilio,30.97,Sí,Sí,4.4,
41,2025-02-16,11:00,Zaragoza,41.61848,-0.97387,Neumático,Turismo,Proveedor D,14.3,21.5,Taxi,37.16,Sí,No,5.0,
42,2025-08-02,09:00,Málaga,36.75332,-4.48416,Batería,SUV,Proveedor D,26.0,29.7,Grúa,91.56,Sí,No,5.0,
43,2025-04-25,16:46,Sevilla,37.26426,-5.96796,Batería,Moto,Proveedor B,9.3,28.5,Taxi,31.61,Sí,No,5.0,
44,2024-09-12,09:09,Barcelona,41.49906,2.06383,Combustible,Turismo,Proveedor A,41.7,42.1,Grúa,90.25,Sí,No,4.1,
45,2025-04-13,18:05,Madrid,40.44802,-3.71059,Neumático,Turismo,Proveedor A,13.4,34.0,Taxi,23.75,Sí,No,4.6,
46,2024-09-03,20:05,Sevilla,37.44035,-6.04968,Caja de cambios,Turismo,Proveedor C,23.7,57.3,Grúa,180.31,Sí,Sí,2.9,
47,2025-01-17,20:00,Zaragoza,41.60064,-0.82828,Neumático,Turismo,Proveedor B,17.3,17.5,Taxi,16.14,Sí,No,5.0,
48,2024-12-09,14:16,Barcelona,41.34673,2.06925,Batería,Turismo,Proveedor B,15.9,34.9,Retorno Domicilio,45.07,No,No,4.7,
49,2024-08-31,13:21,Sevilla,37.36718,-5.93585,Batería,SUV,Proveedor C,25.6,37.6,Grúa,83.85,Sí,No,4.0,
